sentence_id,sentence,trigram_surprisal
file-katl_e_bayan-1507111042__1.0,भवानीनन्दन दफ्तर से आते ही कमरे में बिछी चटाई पर पसर गये । ,93.95325140395218
file-katl_e_bayan-1507111042__1.1,भवानीनन्दन दफ्तर से चटाई पर कमरे में बिछी आते ही पसर गये । ,98.08061745386507
file-katl_e_bayan-1507111042__1.2,आते ही दफ्तर से भवानीनन्दन कमरे में बिछी चटाई पर पसर गये । ,91.99522276276963
file-katl_e_bayan-1507111042__1.3,आते ही दफ्तर से चटाई पर कमरे में बिछी भवानीनन्दन पसर गये । ,93.69206984398423
file-katl_e_bayan-1507111042__1.4,चटाई पर दफ्तर से भवानीनन्दन कमरे में बिछी आते ही पसर गये । ,96.64851676249559
file-katl_e_bayan-1507111042__1.5,चटाई पर दफ्तर से आते ही कमरे में बिछी भवानीनन्दन पसर गये । ,94.21799779379728
file-katl_e_bayan-1507111042__2.0,भवानीनन्दन को चारों खाने चित पसरा देखकर पुष्पा की चुन्नी खड़ी हो गयी । ,102.48195329091313
file-katl_e_bayan-1507111042__2.1,भवानीनन्दन को चारों खाने चित पसरा देखकर पुष्पा की खड़ी चुन्नी हो गयी । ,108.56046320122901
file-katl_e_bayan-1507111042__2.2,भवानीनन्दन को चारों खाने चित पसरा चुन्नी पुष्पा की देखकर खड़ी हो गयी । ,102.48195329091313
file-katl_e_bayan-1507111042__2.3,भवानीनन्दन को चारों खाने चित पसरा चुन्नी पुष्पा की खड़ी देखकर हो गयी । ,105.62568534423764
file-katl_e_bayan-1507111042__2.4,भवानीनन्दन को चारों खाने चित पसरा खड़ी पुष्पा की देखकर चुन्नी हो गयी । ,108.99074750347266
file-katl_e_bayan-1507111042__2.5,भवानीनन्दन को चारों खाने चित पसरा खड़ी पुष्पा की चुन्नी देखकर हो गयी । ,108.9907486014308
file-katl_e_bayan-1507111042__3.0,वह दौड़कर लोटे में पानी लायी और आंचल पानी में भीगोकर भवानीनन्दन का माथा पोंछते हुए कहने लगी क्यों चिन्ता में डूबे रहते हो । ,178.03848578919153
file-katl_e_bayan-1507111042__3.1,वह दौड़कर लोटे में पानी लायी और आंचल पानी में भीगोकर भवानीनन्दन का माथा पोंछते हुए कहने लगी चिन्ता में क्यों डूबे रहते हो । ,179.49708748426514
file-katl_e_bayan-1507111042__6.0,तुम अपनी योग्यता को रचनात्मक कामों में लगाकर चिन्ता मुक्त तो हो सकते हो । ,97.70983239489978
file-katl_e_bayan-1507111042__6.1,तुम अपनी योग्यता को रचनात्मक कामों में चिन्ता मुक्त तो लगाकर हो सकते हो । ,98.78914966848392
file-katl_e_bayan-1507111042__6.2,लगाकर अपनी योग्यता को रचनात्मक कामों में तुम चिन्ता मुक्त तो हो सकते हो । ,99.78563752954906
file-katl_e_bayan-1507111042__6.3,लगाकर अपनी योग्यता को रचनात्मक कामों में चिन्ता मुक्त तो तुम हो सकते हो । ,98.39333685976081
